PLANT,PART_NAME,SERVICE_TYPE,FLOW_TYPE,STP_CD,ONESAP_LOT,PROCESS_BEFORE_QTY,PROCESS_AFTER_QTY,STATUS,LOT_CREATE_DATE,
SG21,MN2WS0230A3,T,E,ST11S0000065,UBF8J015.1,9,0,WT,08/11/2015,
SG21,MN2WS140AFF1,T,E,ST11S0000067,#N/A,15,0,WT,01/26/2017,
SG21,MN2PS01511,T,E,ST11S0000068,#N/A,0,595,EW,03/09/2017,
SG21,MN2WS0110B,T,E,ST11S0000067,#N/A,26,0,WT,01/26/2017,
SG21,MN2WS0230A2N,T,E,ST11S0000067,#N/A,456,0,WT,03/25/2017,
SG21,MN2WS0230A2N,T,E,ST11S0000068,#N/A,0,120,EW,03/26/2017,
SG21,MN2WS0178A,F,E,ST11S0000067,#N/A,116,0,WT,01/26/2017,
SG21,MN2WS0275CB,T,E,ST11S0000067,#N/A,9,0,WT,01/01/1970,
SG21,MN5407UB-S,A,E,ST11S0000068,#N/A,0,1300,EW,03/06/2017,
SG21,MN5407UB-S,A,E,ST11S0000068,#N/A,0,1228,EW,03/06/2017,
SG21,MN2WS0105UB,F,E,ST11S0000067,#N/A,67,0,WT,12/08/2016,
SG21,MN2WS0260A2S,#N/A,E,ST11S0000068,#N/A,0,200,EW,02/27/2017,
SG21,MIP0255SSSCF,F,E,ST31S0000035,#N/A,0,2000,OW,03/19/2017,
SG21,MIP0255SSSCF,F,E,ST31S0000035,#N/A,0,2000,OW,03/19/2017,
SG21,MIP2910MSSCF,F,E,ST31S0000035,#N/A,0,2000,OW,03/16/2017,
SG21,MIP2C20MSSCF,F,E,ST31S0000035,#N/A,0,2000,OW,03/05/2017,
SG21,MIP2E3DMSSCF,F,E,ST31S0000035,#N/A,0,2000,OW,03/10/2017,
SG21,MIP2E3DMSSCF,F,E,ST31S0000035,#N/A,0,2000,OW,02/27/2017,
SG21,MIP2F30MSSCF,F,E,ST31S0000033,#N/A,853,0,WT,12/22/2016,
SG21,MIP2M20MSSCF,F,E,ST31S0000035,#N/A,0,2000,OW,02/01/2017,
SG21,MIP3J20MSSCF,F,E,ST31S0000033,UCG2ICSV.1,842,0,WT,02/04/2016,
SG21,MIP4120MSSCF,F,E,ST31S0000033,#N/A,241,0,WT,02/20/2017,
SG21,MIP4140MSSCF,F,E,ST31S0000033,#N/A,840,0,WT,02/17/2017,
SG21,MIP2K30MS1S0,F,E,ST31S0000035,#N/A,0,2000,OW,03/12/2017,
SG21,MIP2830MSL,F,E,ST31S0000035,#N/A,0,1000,OW,03/05/2017,
SG21,MIP2K2SMTSCF,F,E,ST31S0000035,#N/A,0,2000,OW,03/16/2017,
SG21,MIP2K50MTSCF,F,E,ST31S0000035,#N/A,0,2000,OW,03/17/2017,
SG21,MIP3820MTSCF,F,E,ST31S0000033,#N/A,1525,0,WT,02/06/2017,
SG21,MIP3840MTSCF,F,E,ST31S0000035,#N/A,0,2000,OW,03/18/2017,
SG21,MIP3E50MY,F,E,ST31S0000035,#N/A,0,500,OW,03/04/2017,
SG21,MIP3E50MY,F,E,ST31S0000035,#N/A,0,500,OW,03/04/2017,
SG21,MIP0225SY,F,E,ST31S0000037,#N/A,2875,0,WT,02/01/2017,
SG21,MIP0227SY,F,E,ST31S0000033,#N/A,621,0,WT,03/12/2017,
SG21,MIP0222SY0LF,F,E,ST31S0000035,#N/A,0,500,OW,03/12/2017,
SG21,MIP0222SY0LF,F,E,ST31S0000035,#N/A,0,500,OW,03/12/2017,
SG21,AN22004A-VF,F,E,ST31S0000154,UCE7V531.1,1750,0,WT,07/31/2014,
SG21,AN34043AAVF,F,E,ST31S0000157,#N/A,0,2000,OW,03/17/2017,
SG21,AN34043AAVF,F,E,ST31S0000157,#N/A,0,2000,OW,03/15/2017,
SG21,AN44020A-VF,F,E,ST31S0000154,UCEAG029.1,1255,0,WT,10/08/2014,
SG21,AN44031A-VF,F,E,ST31S0000157,#N/A,0,2000,OW,01/22/2017,
SG21,AN44062A-VF,F,E,ST31S0000157,#N/A,0,2000,OW,02/27/2017,
SG21,AN47054A-VF,F,E,ST31S0000157,#N/A,0,2000,OW,03/09/2017,
SG21,AN47200A-VF,F,E,ST31S0000155,#N/A,2000,0,WT,03/20/2017,
SG21,AN47200A-VF,F,E,ST31S0000157,#N/A,0,2000,OW,03/11/2017,
SG21,AN47200A-VF,F,E,ST31S0000157,#N/A,0,2000,OW,03/11/2017,
SG21,AN47200A-VF,F,E,ST31S0000157,#N/A,0,2000,OW,03/11/2017,
