PLANT,PART_NAME,SERVICE_TYPE,FLOW_TYPE,STP_CD,ONESAP_LOT,PROCESS_BEFORE_QTY,PROCESS_AFTER_QTY,STATUS,LOT_CREATE_DATE,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF4O009.1,6,0,WT,2015-04-23 10:57:16,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF5F010.1,3,0,WT,2015-05-13 14:21:07,
SG21,MN2PS01511A,T,T,ST11S0000064,UBFBN020.1,1,0,WT,2015-11-19 20:01:04,
SG21,MN2PS01511A,T,T,ST11S0000064,UBG2MALC.1,103,0,WT,2016-02-21 11:38:15,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF3J015.1,3,0,WT,2015-03-16 13:40:42,
SG21,SNEA110190C0_SBT,A,A,ST11S0000013,UBF73025.1,720,0,HD,2015-07-03 11:10:30,
SG21,SNEA060540A0_SBT,A,A,ST11S0000013,UBF7D035.1,432,0,HD,2015-07-13 17:22:04,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF8I005.1,7,0,WT,2015-08-05 13:48:27,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF7F010.1,3,0,WT,2015-07-13 10:38:55,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF7F009.1,1,0,WT,2015-07-13 10:39:18,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF3J014.1,7,0,WT,2015-03-16 13:41:20,
SG21,MN2PS01511A,T,T,ST11S0000064,UBEBK010.1,3,0,WT,2014-11-18 14:18:10,
SG21,MN2WS0275CB,T,T,ST11S0000029,UBH3U014.1,1800,0,WT,2017-03-26 15:26:12,
SG21,MN2PS01511A,T,T,ST11S0000064,UBG1D437.1,1,0,WT,2016-01-08 14:31:11,
SG21,MN2PS01511A,T,T,ST11S0000064,UBFC5028.1,44,0,WT,2015-12-03 19:51:18,
SG21,CLN9705KP-V,A,A,ST49S0000030,UAFC8013.1,35854,0,WT,2015-12-08 15:39:40,
SG21,MN2PS01511A,T,T,ST11S0000064,UBFC5030.1,1,0,WT,2015-12-03 19:55:42,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF4O010.1,1,0,WT,2015-04-23 10:57:16,
SG21,MN2PS01511A,T,T,ST11S0000064,UBEBI035.1,3,0,WT,2014-11-15 17:26:32,
SG21,MN2PS01511A,T,T,ST11S0000064,UBEBI034.1,8,0,WT,2014-11-15 17:27:59,
SG21,MN2WS0275CB,T,T,ST11S0000029,UBH3U023.1,1800,0,WT,2017-03-26 15:13:54,
SG21,CLN9705KP-V,A,A,ST49S0000030,UAFC8015.1,35645,0,WT,2015-12-08 15:39:12,
SG21,MN2PS01511A,T,T,ST11S0000064,UBG2MALB.1,18,0,WT,2016-02-21 11:33:12,
SG21,MN2PS01511A,T,T,ST11S0000064,UBFCE014.1,10,0,WT,2015-12-06 10:57:00,
SG21,MN2PS01511A,T,T,ST11S0000064,UBFBC005.1,12,0,WT,2015-11-11 16:43:13,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF7B017.1,5,0,WT,2015-07-10 14:49:54,
SG21,MN2PS01511A,T,T,ST11S0000064,UBEBK009.1,11,0,WT,2014-11-18 14:16:17,
SG21,MN2WS0275CB,T,T,ST11S0000029,UBH3U027.1,1800,0,WT,2017-03-26 16:14:34,
SG21,MN2PS01511A,T,T,ST11S0000064,UBG1B553.1,1,0,WT,2016-01-08 14:30:46,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF3J013.1,8,0,WT,2015-03-16 13:41:20,
SG21,MN2PS01511A,T,T,ST11S0000064,UBEC8029.1,8,0,WT,2014-12-04 20:11:01,
SG21,AN30297P_ASM,A,A,ST31S0000083,UCH3U031.1,1,0,AC,2017-03-15 17:36:18,
SG21,MN2PS01511A,T,T,ST11S0000064,UBGB2001.1,8,0,WT,2016-02-05 14:31:50,
SG21,MN2PS01511A,T,T,ST11S0000064,UBG2N0BX.1,67,0,WT,2016-02-21 11:38:15,
