PLANT,PART_NAME,SERVICE_TYPE,FLOW_TYPE,STP_CD,ONESAP_LOT,PROCESS_BEFORE_QTY,PROCESS_AFTER_QTY,STATUS,LOT_CREATE_DATE,
SG21,MN2PS01511A,T,T,ST11S0000059,UBGAG398.1,11,0,WT,10/12/2016,
SG21,MN2PS01511A,T,T,ST11S0000059,UBG38029.1,34,0,WT,03/05/2016,
SG21,MN2PS01511A,T,T,ST11S0000059,UBG9F203.1,22,0,WT,09/13/2016,
SG21,MN2PS01511A,T,T,ST11S0000059,UBG8E312.1,10,0,WT,08/12/2016,
SG21,QBSG-PA3-SBTS372A,A,A,ST11S0000009,UBE6Q002.1,1257,0,HD,06/26/2014,
SG21,MN2WS0230A2N,T,T,ST11S0000037,UBH41032.1,709,0,WT,03/26/2017,
SG21,MN2WS0230A2N,T,T,ST11S0000064,UBH3V197.1,332,0,WT,03/25/2017,
SG21,MN2WS0230A2N,T,T,ST11S0000063,UBH3V228.1,468,0,AC,03/26/2017,
SG21,MN2WS0230A2N,T,T,ST11S0000037,UBH41083.1,706,0,AC,03/27/2017,
SG21,MN2WS0230A2N,T,T,ST11S0000037,UBH3P275.1,471,0,WT,03/25/2017,
SG21,MN2WS0230A2N,T,T,ST11S0000037,UBH41095.1,479,0,AC,03/25/2017,
SG21,QBSG-PA3-SBTS361A,A,A,ST11S0000013,UBEC8002.1,6,0,HD,12/08/2014,
SG21,QBSG-PA3-SBTS362A,A,A,ST11S0000009,UBH2N330.1,1785,0,WT,02/23/2017,
SG21,QBSG-PA3-SBTS381A,A,A,ST11S0000013,UBF7D003.1,432,0,HD,07/13/2015,
SG21,QBSG-PA3-SBTS370A,A,A,ST11S0000009,UBFA6001.1,4301,0,HD,10/06/2015,
SG21,QBSG-PA3-ASMS556A,A,A,ST31S0000003,UCH3T538.1,48235,0,WT,03/29/2017,
SG21,QBSG-PA3-ASMS556A,A,A,ST31S0000205,UCGC9047.1,5120,0,HD,10/27/2016,
SG21,QBSG-PA3-ASMS522A,A,A,ST31S0000165,UCH3M123.1,34027,0,WT,03/13/2017,
SG21,CLNCT16BS,T,T,ST49S0000010,UAH3T016.1,345,0,WT,03/26/2017,
SG21,CLNCT28AS,T,T,ST49S0000006,UAH3Q025.1,19792,0,WT,03/24/2017,
SG21,CLNCT28AS,T,T,ST49S0000006,UAH3R005.1,17586,0,WT,03/25/2017,
SG21,CLNCT28AS,T,T,ST49S0000005,UAH3T001.1,19602,0,WT,03/26/2017,
SG21,CLNCT28AS,T,T,ST49S0000005,UAH3R010.1,19428,0,WT,03/26/2017,
SG21,CLNCT28AS,T,T,ST49S0000011,UAH3O029.1,18540,0,WT,03/23/2017,
SG21,CLNCT28AS,T,T,ST49S0000010,UAH3Q013.1,18409,0,AC,03/25/2017,
SG21,CLNCT28AS,T,T,ST49S0000003,UAH3T024.1,133780,0,WT,03/29/2017,
SG21,CLNCT28AS,T,T,ST49S0000005,UAH3T004.1,19904,0,WT,03/26/2017,
SG21,CLNCT28AS,T,T,ST49S0000006,UAH3Q011.1,19057,0,AC,03/25/2017,
SG21,CLNCT28AS,T,T,ST49S0000006,UAH3Q009.1,19862,0,WT,03/25/2017,
SG21,CLNCT28AS,T,T,ST49S0000011,UAH3O030.1,19328,0,WT,03/23/2017,
SG21,CLNCT28AS,T,T,ST49S0000006,UAH3Q010.1,19927,0,WT,03/25/2017,
SG21,CLNCT28AS,T,T,ST49S0000005,UAH3S011.1,18210,0,WT,03/26/2017,
SG21,CLNCT28AS,T,T,ST49S0000006,UAH3Q008.1,19904,0,WT,03/25/2017,
SG21,CLNCT28AS,T,T,ST49S0000011,UAH3N003.1,18030,0,WT,03/23/2017,
SG21,CLNCT28AS,T,T,ST49S0000010,UAH3O018.1,19073,0,AC,03/24/2017,
SG21,CLNCT28AS,T,T,ST49S0000005,UAH3S009.1,19853,0,WT,03/26/2017,
